"","census","d_cutoff","x","y","soiltype"
"142",1,10,830,50,"1"
"143",1,10,850,50,"1"
"144",1,10,870,50,"1"
"145",1,10,890,50,"1"
"146",1,10,910,50,"1"
"147",1,10,930,50,"4"
"148",1,10,950,50,"1"
"149",1,10,970,50,"1"
"150",1,10,990,50,"1"
"151",1,10,10,70,"2"
"152",1,10,30,70,"2"
"153",1,10,50,70,"2"
"154",1,10,70,70,"2"
"155",1,10,90,70,"2"
"156",1,10,110,70,"2"
"157",1,10,130,70,"2"
"158",1,10,150,70,"2"
"159",1,10,170,70,"2"
"160",1,10,190,70,"3"
"161",1,10,210,70,"3"
"162",1,10,230,70,"3"
"163",1,10,250,70,"4"
"164",1,10,270,70,"4"
"165",1,10,290,70,"4"
"166",1,10,310,70,"4"
"167",1,10,330,70,"4"
"168",1,10,350,70,"4"
"169",1,10,370,70,"4"
"170",1,10,390,70,"4"
"171",1,10,410,70,"1"
"172",1,10,430,70,"1"
"173",1,10,450,70,"1"
"174",1,10,470,70,"1"
"175",1,10,490,70,"1"
"176",1,10,510,70,"1"
"177",1,10,530,70,"1"
"178",1,10,550,70,"1"
"179",1,10,570,70,"1"
"180",1,10,590,70,"1"
"181",1,10,610,70,"1"
"182",1,10,630,70,"1"
"183",1,10,650,70,"1"
"184",1,10,670,70,"1"
"185",1,10,690,70,"1"
"186",1,10,710,70,"1"
"187",1,10,730,70,"1"
"188",1,10,750,70,"1"
"189",1,10,770,70,"1"
"190",1,10,790,70,"1"
"191",1,10,810,70,"1"
"192",1,10,830,70,"1"
"193",1,10,850,70,"1"
"194",1,10,870,70,"1"
"195",1,10,890,70,"1"
"196",1,10,910,70,"1"
"197",1,10,930,70,"1"
"198",1,10,950,70,"1"
"199",1,10,970,70,"1"
"200",1,10,990,70,"3"
"201",1,10,10,90,"2"
"202",1,10,30,90,"2"
"203",1,10,50,90,"2"
"204",1,10,70,90,"2"
"205",1,10,90,90,"1"
"206",1,10,110,90,"4"
"207",1,10,130,90,"4"
"208",1,10,150,90,"2"
"209",1,10,170,90,"3"
"210",1,10,190,90,"3"
"211",1,10,210,90,"3"
"212",1,10,230,90,"3"
"213",1,10,250,90,"4"
"214",1,10,270,90,"4"
"215",1,10,290,90,"4"
"216",1,10,310,90,"4"
"217",1,10,330,90,"4"
"218",1,10,350,90,"4"
"219",1,10,370,90,"4"
"220",1,10,390,90,"4"
"221",1,10,410,90,"4"
"222",1,10,430,90,"3"
"223",1,10,450,90,"3"
"224",1,10,470,90,"1"
"225",1,10,490,90,"1"
"226",1,10,510,90,"1"
"227",1,10,530,90,"1"
"228",1,10,550,90,"4"
"229",1,10,570,90,"1"
"230",1,10,590,90,"1"
"231",1,10,610,90,"1"
"232",1,10,630,90,"1"
"233",1,10,650,90,"1"
"234",1,10,670,90,"1"
"235",1,10,690,90,"1"
"236",1,10,710,90,"1"
"237",1,10,730,90,"1"
"238",1,10,750,90,"1"
"239",1,10,770,90,"1"
"240",1,10,790,90,"1"
"241",1,10,810,90,"1"
"242",1,10,830,90,"1"
"243",1,10,850,90,"1"
"244",1,10,870,90,"1"
"245",1,10,890,90,"1"
"246",1,10,910,90,"1"
"247",1,10,930,90,"1"
"248",1,10,950,90,"1"
"249",1,10,970,90,"3"
"250",1,10,990,90,"3"
"251",1,10,10,110,"2"
"252",1,10,30,110,"2"
"253",1,10,50,110,"2"
"254",1,10,70,110,"1"
"255",1,10,90,110,"1"
"256",1,10,110,110,"4"
"257",1,10,130,110,"4"
"258",1,10,150,110,"4"
"259",1,10,170,110,"3"
"260",1,10,190,110,"3"
"261",1,10,210,110,"3"
"262",1,10,230,110,"3"
"263",1,10,250,110,"4"
"264",1,10,270,110,"4"
"265",1,10,290,110,"4"
"266",1,10,310,110,"4"
"267",1,10,330,110,"4"
"268",1,10,350,110,"4"
"269",1,10,370,110,"4"
"270",1,10,390,110,"4"
"271",1,10,410,110,"4"
"272",1,10,430,110,"4"
"273",1,10,450,110,"4"
"274",1,10,470,110,"1"
"275",1,10,490,110,"1"
"276",1,10,510,110,"1"
"277",1,10,530,110,"4"
"278",1,10,550,110,"4"
"279",1,10,570,110,"4"
"280",1,10,590,110,"1"
"281",1,10,610,110,"1"
"282",1,10,630,110,"1"
"283",1,10,650,110,"1"
"284",1,10,670,110,"2"
"285",1,10,690,110,"2"
"286",1,10,710,110,"1"
"287",1,10,730,110,"1"
"288",1,10,750,110,"1"
"289",1,10,770,110,"1"
"290",1,10,790,110,"1"
"291",1,10,810,110,"1"
"292",1,10,830,110,"1"
"293",1,10,850,110,"1"
"294",1,10,870,110,"1"
"295",1,10,890,110,"1"
"296",1,10,910,110,"1"
"297",1,10,930,110,"1"
"298",1,10,950,110,"1"
"299",1,10,970,110,"1"
"300",1,10,990,110,"3"
"301",1,10,10,130,"2"
"302",1,10,30,130,"2"
"303",1,10,50,130,"2"
"304",1,10,70,130,"2"
"305",1,10,90,130,"4"
"306",1,10,110,130,"4"
"307",1,10,130,130,"4"
"308",1,10,150,130,"4"
"309",1,10,170,130,"4"
"310",1,10,190,130,"3"
"311",1,10,210,130,"3"
"312",1,10,230,130,"4"
"313",1,10,250,130,"4"
"314",1,10,270,130,"4"
"315",1,10,290,130,"4"
"316",1,10,310,130,"4"
"317",1,10,330,130,"4"
"318",1,10,350,130,"4"
"319",1,10,370,130,"4"
"320",1,10,390,130,"4"
"321",1,10,410,130,"4"
"322",1,10,430,130,"4"
"323",1,10,450,130,"4"
"324",1,10,470,130,"4"
"325",1,10,490,130,"4"
"326",1,10,510,130,"1"
"327",1,10,530,130,"4"
"328",1,10,550,130,"4"
"329",1,10,570,130,"4"
"330",1,10,590,130,"4"
"331",1,10,610,130,"4"
"332",1,10,630,130,"4"
"333",1,10,650,130,"4"
"334",1,10,670,130,"4"
"335",1,10,690,130,"4"
"336",1,10,710,130,"4"
"337",1,10,730,130,"4"
"338",1,10,750,130,"1"
"339",1,10,770,130,"4"
"340",1,10,790,130,"1"
"341",1,10,810,130,"1"
"342",1,10,830,130,"1"
"343",1,10,850,130,"1"
"344",1,10,870,130,"1"
"345",1,10,890,130,"1"
"346",1,10,910,130,"1"
"347",1,10,930,130,"1"
"348",1,10,950,130,"1"
"349",1,10,970,130,"1"
"350",1,10,990,130,"3"
"351",1,10,10,150,"2"
"352",1,10,30,150,"2"
"353",1,10,50,150,"2"
"354",1,10,70,150,"2"
"355",1,10,90,150,"2"
"356",1,10,110,150,"4"
"357",1,10,130,150,"4"
"358",1,10,150,150,"4"
"359",1,10,170,150,"4"
"360",1,10,190,150,"4"
"361",1,10,210,150,"4"
"362",1,10,230,150,"4"
"363",1,10,250,150,"4"
"364",1,10,270,150,"4"
"365",1,10,290,150,"4"
"366",1,10,310,150,"4"
"367",1,10,330,150,"4"
"368",1,10,350,150,"4"
"369",1,10,370,150,"4"
"370",1,10,390,150,"4"
"371",1,10,410,150,"4"
