"","census","d_cutoff","group","x","y","density","soiltype"
"182",1,10,"1",130,150,3.89166331276799e-06,"4"
"183",1,10,"1",150,150,5.84531250073014e-06,"1"
"184",1,10,"1",170,150,9.26578154695301e-06,"1"
"185",1,10,"1",190,150,1.05545414871682e-05,"1"
"186",1,10,"1",210,150,9.21898565719086e-06,"1"
"187",1,10,"1",230,150,7.46809377711563e-06,"1"
"188",1,10,"1",250,150,6.65229404708017e-06,"1"
"189",1,10,"1",270,150,5.50616639568076e-06,"1"
"190",1,10,"1",290,150,4.64632893374079e-06,"1"
"191",1,10,"1",310,150,4.61909083622134e-06,"4"
"192",1,10,"1",330,150,4.38465643389972e-06,"4"
"193",1,10,"1",350,150,4.13443979079813e-06,"4"
"194",1,10,"1",370,150,3.83695820462722e-06,"4"
"195",1,10,"1",390,150,2.72806373070666e-06,"2"
"196",1,10,"1",410,150,2.00321017549093e-06,"2"
"197",1,10,"1",430,150,1.82699966877487e-06,"2"
"198",1,10,"1",450,150,1.86148626928631e-06,"2"
"199",1,10,"1",470,150,2.35738404118643e-06,"2"
"200",1,10,"1",490,150,3.16113452547544e-06,"2"
"201",1,10,"1",10,170,4.2762775288787e-06,"3"
"202",1,10,"1",30,170,4.36284871671295e-06,"3"
"203",1,10,"1",50,170,4.21725086586286e-06,"3"
"204",1,10,"1",70,170,4.5084029381358e-06,"3"
"205",1,10,"1",90,170,4.86511784212304e-06,"3"
"206",1,10,"1",110,170,4.09602398153884e-06,"3"
"207",1,10,"1",130,170,3.41671584105855e-06,"3"
"208",1,10,"1",150,170,4.48114564722693e-06,"3"
"209",1,10,"1",170,170,6.89972036067552e-06,"1"
"210",1,10,"1",190,170,8.04078119925429e-06,"1"
"211",1,10,"1",210,170,7.15549632840964e-06,"1"
"212",1,10,"1",230,170,5.87239106676684e-06,"1"
"213",1,10,"1",250,170,5.37625948620426e-06,"1"
"214",1,10,"1",270,170,4.67004277538146e-06,"1"
"215",1,10,"1",290,170,4.21147748745117e-06,"2"
"216",1,10,"1",310,170,4.18056479683042e-06,"4"
"217",1,10,"1",330,170,3.9316061745951e-06,"4"
"218",1,10,"1",350,170,3.66945907889691e-06,"4"
"219",1,10,"1",370,170,3.34501228739474e-06,"2"
"220",1,10,"1",390,170,2.57595427188116e-06,"2"
"221",1,10,"1",410,170,2.3597837261972e-06,"2"
"222",1,10,"1",430,170,2.33125243530432e-06,"2"
"223",1,10,"1",450,170,2.1441712520643e-06,"2"
"224",1,10,"1",470,170,2.39607084580481e-06,"2"
"225",1,10,"1",490,170,3.05481925127132e-06,"2"
"226",1,10,"1",10,190,4.48880761697993e-06,"3"
"227",1,10,"1",30,190,4.98922823910136e-06,"3"
"228",1,10,"1",50,190,5.1005923761128e-06,"3"
"229",1,10,"1",70,190,4.76243479621625e-06,"3"
"230",1,10,"1",90,190,4.3944659120634e-06,"3"
"231",1,10,"1",110,190,3.72810137118726e-06,"3"
"232",1,10,"1",130,190,3.19933071571213e-06,"3"
"233",1,10,"1",150,190,3.70054140378893e-06,"3"
"234",1,10,"1",170,190,5.5294447710808e-06,"3"
"235",1,10,"1",190,190,6.93288667662155e-06,"1"
"236",1,10,"1",210,190,6.09163379132556e-06,"1"
"237",1,10,"1",230,190,4.78320482655894e-06,"3"
"238",1,10,"1",250,190,4.42416220760073e-06,"3"
"239",1,10,"1",270,190,3.82064796967956e-06,"3"
"240",1,10,"1",290,190,3.36455473660343e-06,"4"
"241",1,10,"1",310,190,3.25323215358833e-06,"2"
"242",1,10,"1",330,190,3.2449479806096e-06,"2"
"243",1,10,"1",350,190,3.25981396490551e-06,"2"
"244",1,10,"1",370,190,2.93465245034322e-06,"2"
"245",1,10,"1",390,190,2.42167271002412e-06,"2"
"246",1,10,"1",410,190,2.7088658448586e-06,"4"
"247",1,10,"1",430,190,3.00316111321902e-06,"2"
"248",1,10,"1",450,190,2.69053939748125e-06,"2"
"249",1,10,"1",470,190,2.72269134379638e-06,"2"
"250",1,10,"1",490,190,3.09675084299563e-06,"2"
"251",1,10,"1",10,210,4.44037369079325e-06,"3"
"252",1,10,"1",30,210,5.17171103291692e-06,"3"
"253",1,10,"1",50,210,5.80987687851205e-06,"3"
"254",1,10,"1",70,210,5.57922700902396e-06,"3"
"255",1,10,"1",90,210,4.72946685777261e-06,"3"
"256",1,10,"1",110,210,3.75975212563803e-06,"3"
"257",1,10,"1",130,210,3.2542646019582e-06,"3"
"258",1,10,"1",150,210,3.43825762271791e-06,"3"
"259",1,10,"1",170,210,4.74230823451383e-06,"3"
"260",1,10,"1",190,210,6.21921489000892e-06,"1"
"261",1,10,"1",210,210,5.74841399343496e-06,"3"
"262",1,10,"1",230,210,4.56817969382943e-06,"3"
"263",1,10,"1",250,210,4.18643272348874e-06,"3"
"264",1,10,"1",270,210,3.67405987193944e-06,"2"
"265",1,10,"1",290,210,3.08780465968834e-06,"4"
"266",1,10,"1",310,210,2.64327182938747e-06,"2"
"267",1,10,"1",330,210,2.48603535171289e-06,"2"
"268",1,10,"1",350,210,2.61111339591708e-06,"2"
"269",1,10,"1",370,210,2.46517756952396e-06,"2"
"270",1,10,"1",390,210,2.24750319526566e-06,"4"
"271",1,10,"1",410,210,2.96698627809859e-06,"4"
"272",1,10,"1",430,210,3.73579137267689e-06,"4"
"273",1,10,"1",450,210,3.38056078991697e-06,"2"
"274",1,10,"1",470,210,3.17647175228949e-06,"2"
"275",1,10,"1",490,210,3.26002336853862e-06,"2"
"276",1,10,"1",10,230,3.84257130496131e-06,"4"
